level,id,parent,children,name,include,pnzRegional,path
ward,zzzzzzzzzzzzzzzzzzzv,zzzzzzzzzzzzzzzzzzzy,,Harbour Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzv
ward,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzy,,Northern Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzw
ward,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzy,,Wainuiomata Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzx
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzy,,Western Ward,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,||||||,Hutt City,true,greater-wellington-regional-council-te-awa-kairangi-ki-tai-lower-hutt-constituency,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy
region,zzzzzzzzzzzzzzzzzzzx,,||||||||,Wellington,true,,regions/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzy,,Whau,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgI/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzy,5LcejaRWTJoYW3rI9mgI,,Whau,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgI/boards/zzzzzzzzzzzzzzzzzzzy
ward,5LcejaRWTJoYW3rI9mgI,zzzzzzzzzzzzzzzzzzzy,,Whau,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgI
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzw,,Aotea Great Barrier,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzw/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzw,5LcejaRWTJoYW3rI9mgJ,,Aotea Great Barrier,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzw
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,,Waiheke,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzx,5LcejaRWTJoYW3rI9mgJ,,Waiheke,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzy,,Waitematā,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzy,5LcejaRWTJoYW3rI9mgJ,,Waitematā,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzy
ward,5LcejaRWTJoYW3rI9mgJ,zzzzzzzzzzzzzzzzzzzy,||,Waitematā and Gulf,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,,Henderson-Massey,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy
